user;display;time
1;Oculus Rift;321.3071
2;Oculus Rift;247.6789
3;Monitor;291.4818
4;Oculus Rift;270.8659
5;Monitor;426.7007
6;Oculus Rift;239.6527
7;Monitor;535.847
8;Oculus Rift;499.2444
9;Oculus Rift;324.3059
10;Monitor;295.4926
11;Oculus Rift;327.2813
12;Monitor;361.5728
13;Oculus Rift;587.9792
14;Monitor;321.1603
15;Oculus Rift;445.7458
16;Monitor;369.7603
17;Oculus Rift;364.4537
18;Monitor;305.0396
19;Oculus Rift;341.5718
20;Monitor;988.6334
21;Oculus Rift;289.109039307
22;Monitor;444.745422363
23;Oculus Rift;275.871582031
24;Monitor;338.556396484
25;Oculus Rift;360.480316162
26;Monitor;397.672668457
27;Oculus Rift;211.372497559
28;Monitor;330.63470459
29;Monitor;296.166351318
30;Oculus Rift;315.557647705
31;Monitor;351.56427002
32;Oculus Rift;462.728240967
33;Monitor;728.183959961
34;Monitor;413.080932617
35;Oculus Rift;239.41734314
36;Monitor;571.311096191
37;Oculus Rift;620.984924316
38;Monitor;393.70715332
39;Oculus Rift;474.820465088
40;Monitor;342.464538574
41;DisplayWall;535.530212402
42;DisplayWall;492.162765503
43;DisplayWall;650.012084961
44;DisplayWall;536.810791016
45;DisplayWall;398.18680191
46;DisplayWall;950.736999512
47;DisplayWall;448.689483643
48;DisplayWall;1238.20568848
49;DisplayWall;590.85748291
50;DisplayWall;549.262512207
51;DisplayWall;991.069458008
52;DisplayWall;949.188293457
53;DisplayWall;405.662109375
54;DisplayWall;933.240539551
55;DisplayWall;1319.77539062
56;DisplayWall;903.618164062
57;DisplayWall;1042.45568848
58;DisplayWall;460.330078125
59;DisplayWall;778.964416504
60;DisplayWall;576.005065918
61;DisplayWall;876.499511719
