user;setup;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;r1;r2;r3;r4;r5;r6
1;1;B;A;B;B;B;A;A;B;B;A;A;B;A;A;8;5;7;8;6;6
2;1;B;A;A;B;B;B;A;B;B;B;B;B;A;A;3;1;2;10;5;1
3;1;A;A;B;A;A;A;A;B;A;B;B;B;A;A;4;3;2;8;5;2
4;1;B;A;B;B;A;A;A;B;A;B;B;A;A;A;8;2;6;9;3;2
5;1;B;A;B;A;A;A;B;B;A;A;A;A;B;A;5;8;6;7;3;7
6;1;B;A;B;A;B;B;B;B;B;A;A;A;A;A;2;7;2;7;9;1
7;1;B;A;B;B;B;B;B;B;B;A;A;A;B;A;2;2;1;9;3;1
8;1;B;A;B;B;B;B;B;B;B;A;A;A;A;A;7;4;1;9;4;2
9;1;B;A;B;B;A;A;A;B;B;B;A;A;A;A;5;2;1;9;4;2
10;1;B;A;B;A;A;A;B;B;A;A;A;A;A;B;3;2;4;7;7;1
11;2;B;A;B;B;A;A;A;B;B;B;B;B;A;A;7;3;6;10;5;1
12;2;B;A;B;A;A;A;A;B;B;B;A;A;B;A;6;3;1;8;5;2
13;2;B;B;A;B;B;A;A;A;B;B;A;B;A;A;8;4;3;8;9;8
14;2;B;A;B;A;A;A;A;B;B;B;B;A;A;A;8;4;4;8;7;5
15;2;A;A;A;A;A;B;A;B;A;B;B;B;A;B;6;6;7;9;8;8
16;2;B;A;A;B;B;B;A;B;B;B;A;A;A;A;8;7;5;8;9;8
17;2;B;A;B;A;B;B;B;A;B;B;A;B;B;A;3;7;2;8;6;6
18;2;B;B;A;A;B;B;A;A;A;B;B;B;B;B;5;4;8;8;6;9
19;2;A;B;A;A;B;B;B;A;A;A;A;A;B;A;3;4;2;8;10;5
20;2;B;A;B;A;A;A;A;B;B;B;A;A;A;A;6;4;7;10;6;2
21;2;A;A;B;A;B;B;B;A;B;A;A;B;B;A;3;5;3;8;6;7
22;3;A;B;A;B;B;A;B;A;A;A;B;B;A;B;4;4;2;9;5;9
23;3;B;B;A;B;B;A;A;A;B;B;A;B;A;A;6;3;2;7;6;8
24;3;B;A;B;B;A;B;B;B;B;B;A;A;A;A;8;6;4;8;7;4
25;3;B;A;B;A;B;A;B;B;B;A;A;A;A;A;2;6;2;3;6;3
26;3;B;A;A;A;B;B;B;A;B;B;A;B;B;A;3;6;1;8;7;6
27;3;B;A;B;A;B;B;B;A;B;B;A;A;B;A;8;10;4;9;9;6
28;3;B;A;B;A;B;A;A;B;B;B;A;A;B;A;4;4;3;7;8;3
29;3;B;A;B;B;A;B;B;A;B;A;A;A;A;B;5;7;4;9;7;4
30;3;B;A;B;A;B;B;A;B;B;B;A;A;A;A;9;4;5;6;7;4
31;3;B;B;A;A;B;A;A;A;B;B;A;B;A;A;4;1;1;8;4;7
32;3;A;A;B;A;A;B;B;B;B;B;B;A;B;A;3;3;3;10;4;3
33;4;A;B;A;A;B;B;B;A;B;B;A;B;B;A;6;8;5;7;6;9
34;4;B;B;B;A;B;A;A;A;B;A;B;A;A;B;6;8;7;5;6;6
35;4;B;A;B;B;A;B;A;B;A;B;B;B;B;A;3;7;5;8;5;6
36;4;A;B;A;A;A;A;B;A;A;A;A;A;B;B;3;8;5;9;7;6
37;4;B;A;B;B;B;A;B;B;B;A;A;A;B;A;5;8;2;8;8;3
38;4;A;B;B;A;B;B;B;A;A;B;B;B;B;B;2;4;2;8;3;8
39;4;A;B;A;B;A;A;B;A;A;A;B;B;B;B;3;5;2;9;6;3
40;4;A;B;B;A;B;A;B;A;B;A;A;A;B;B;4;8;5;6;8;7
41;4;A;A;B;A;B;A;B;A;B;A;A;A;B;A;4;9;5;9;8;6
42;4;A;B;A;B;B;A;B;A;B;A;A;B;B;A;7;9;3;3;2;7
43;4;A;B;A;A;B;A;B;A;A;A;A;B;B;A;5;7;5;4;6;5
44;1;A;B;A;A;B;A;B;A;B;A;A;B;A;A;4;7;3;7;4;4
45;2;A;A;B;A;A;B;A;A;B;B;A;A;A;A;2;3;4;8;5;1
46;3;A;B;B;A;A;A;B;A;A;A;B;A;B;B;3;4;2;6;6;6
