user;setup;stage;time;name
1;1;learning;136.74;Message03
1;1;learning;29.32;Message07
1;1;learning;53.84;Message04
1;1;learning;60.38;Message05
1;1;learning;157.99;Message06
1;1;learning;163.83;Message08
2;1;learning;201.83;Message03
2;1;learning;33.89;Message07
2;1;learning;23.96;Message04
2;1;learning;112.29;Message05
2;1;learning;59.21;Message06
2;1;learning;219.88;Message08
3;1;learning;213.51;Message03
3;1;learning;48.43;Message07
3;1;learning;111.54;Message04
3;1;learning;78.22;Message05
3;1;learning;121.27;Message06
3;1;learning;48.41;Message08
4;1;learning;110.44;Message03
4;1;learning;35.41;Message07
4;1;learning;69.89;Message04
4;1;learning;59.31;Message05
4;1;learning;89.03;Message06
4;1;learning;125.00;Message08
5;1;learning;113.62;Message03
5;1;learning;30.60;Message07
5;1;learning;50.29;Message04
5;1;learning;61.17;Message05
5;1;learning;70.78;Message06
5;1;learning;110.39;Message08
6;1;learning;216.55;Message03
6;1;learning;24.47;Message07
6;1;learning;48.99;Message04
6;1;learning;34.95;Message05
6;1;learning;105.20;Message06
6;1;learning;43.65;Message08
7;1;learning;127.66;Message03
7;1;learning;42.32;Message07
7;1;learning;69.55;Message04
7;1;learning;55.92;Message05
7;1;learning;126.99;Message06
7;1;learning;29.12;Message08
8;1;learning;133.62;Message03
8;1;learning;67.77;Message07
8;1;learning;57.39;Message04
8;1;learning;54.68;Message05
8;1;learning;83.96;Message06
8;1;learning;96.32;Message08
9;1;learning;145.96;Message03
9;1;learning;36.29;Message07
9;1;learning;62.20;Message04
9;1;learning;62.56;Message05
9;1;learning;51.60;Message06
9;1;learning;83.18;Message08
10;1;learning;213.43;Message03
10;1;learning;84.42;Message07
10;1;learning;26.24;Message04
10;1;learning;55.53;Message05
10;1;learning;90.75;Message06
10;1;learning;144.62;Message08
11;2;learning;130.95;Message03
11;2;learning;33.87;Message07
11;2;learning;54.76;Message04
11;2;learning;56.50;Message05
11;2;learning;71.67;Message06
11;2;learning;119.68;Message08
12;2;learning;73.25;Message03
12;2;learning;30.76;Message07
12;2;learning;50.55;Message04
12;2;learning;70.46;Message05
12;2;learning;79.37;Message06
12;2;learning;72.87;Message08
13;2;learning;132.16;Message03
13;2;learning;35.55;Message07
13;2;learning;67.48;Message04
13;2;learning;48.32;Message05
13;2;learning;43.27;Message06
13;2;learning;122.39;Message08
14;2;learning;282.35;Message03
14;2;learning;59.40;Message07
14;2;learning;84.26;Message04
14;2;learning;98.63;Message05
14;2;learning;150.49;Message06
14;2;learning;225.01;Message08
15;2;learning;308.06;Message03
15;2;learning;54.34;Message07
15;2;learning;36.40;Message04
15;2;learning;64.46;Message05
15;2;learning;74.57;Message06
15;2;learning;100.99;Message08
16;2;learning;149.80;Message03
16;2;learning;32.29;Message07
16;2;learning;61.55;Message04
16;2;learning;64.71;Message05
16;2;learning;44.00;Message06
16;2;learning;51.76;Message08
17;2;learning;278.64;Message03
17;2;learning;35.30;Message07
17;2;learning;75.45;Message04
17;2;learning;116.67;Message05
17;2;learning;84.93;Message06
17;2;learning;150.27;Message08
18;2;learning;110.10;Message03
18;2;learning;48.16;Message07
18;2;learning;89.66;Message04
18;2;learning;50.19;Message05
18;2;learning;43.05;Message06
18;2;learning;96.79;Message08
19;2;learning;119.59;Message03
19;2;learning;23.58;Message07
19;2;learning;56.37;Message04
19;2;learning;54.51;Message05
19;2;learning;60.09;Message06
19;2;learning;137.85;Message08
20;2;learning;264.90;Message03
20;2;learning;25.85;Message07
20;2;learning;90.59;Message04
20;2;learning;51.81;Message05
20;2;learning;42.39;Message06
20;2;learning;130.98;Message08
21;2;learning;320.41;Message03
21;2;learning;56.49;Message07
21;2;learning;147.09;Message04
21;2;learning;48.25;Message05
21;2;learning;115.91;Message06
21;2;learning;145.95;Message08
22;3;learning;151.39;Message03
22;3;learning;43.66;Message07
22;3;learning;74.08;Message04
22;3;learning;61.43;Message05
22;3;learning;50.85;Message06
22;3;learning;280.12;Message08
23;3;learning;66.43;Message03
23;3;learning;21.65;Message07
23;3;learning;42.24;Message04
23;3;learning;41.93;Message05
23;3;learning;78.37;Message06
23;3;learning;174.59;Message08
24;3;learning;147.22;Message03
24;3;learning;56.83;Message07
24;3;learning;63.27;Message04
24;3;learning;51.13;Message05
24;3;learning;23.07;Message06
25;3;learning;88.76;Message03
25;3;learning;46.71;Message07
25;3;learning;64.59;Message04
25;3;learning;53.64;Message05
25;3;learning;64.96;Message06
25;3;learning;185.95;Message08
26;3;learning;262.37;Message03
26;3;learning;25.30;Message07
26;3;learning;79.49;Message04
26;3;learning;40.11;Message05
26;3;learning;62.12;Message06
26;3;learning;154.09;Message08
27;3;learning;393.33;Message03
27;3;learning;53.76;Message07
27;3;learning;82.74;Message04
27;3;learning;98.51;Message05
27;3;learning;124.79;Message06
27;3;learning;337.77;Message08
28;3;learning;276.10;Message03
28;3;learning;47.47;Message07
28;3;learning;104.15;Message04
28;3;learning;61.63;Message05
28;3;learning;66.71;Message06
28;3;learning;218.34;Message08
29;3;learning;188.92;Message03
29;3;learning;63.64;Message07
29;3;learning;83.72;Message04
29;3;learning;74.18;Message05
29;3;learning;104.15;Message06
29;3;learning;125.64;Message08
30;3;learning;163.71;Message03
30;3;learning;48.32;Message07
30;3;learning;89.52;Message04
30;3;learning;77.68;Message05
30;3;learning;114.87;Message06
30;3;learning;43.88;Message08
31;3;learning;212.95;Message03
31;3;learning;49.09;Message07
31;3;learning;70.17;Message04
31;3;learning;58.99;Message05
31;3;learning;72.80;Message06
31;3;learning;227.91;Message08
32;3;learning;191.59;Message03
32;3;learning;41.12;Message07
32;3;learning;56.97;Message04
32;3;learning;70.12;Message05
32;3;learning;107.81;Message06
32;3;learning;333.66;Message08
33;4;learning;37.65;Message03
33;4;learning;176.06;Message07
33;4;learning;133.34;Message04
33;4;learning;66.81;Message05
33;4;learning;236.09;Message06
33;4;learning;234.81;Message08
34;4;learning;174.68;Message03
34;4;learning;89.81;Message07
34;4;learning;49.20;Message04
34;4;learning;46.12;Message05
34;4;learning;158.68;Message06
34;4;learning;249.23;Message08
35;4;learning;189.02;Message03
35;4;learning;56.77;Message07
35;4;learning;68.07;Message04
35;4;learning;78.77;Message05
35;4;learning;73.23;Message06
35;4;learning;168.91;Message08
36;4;learning;73.12;Message03
36;4;learning;37.08;Message07
36;4;learning;52.07;Message04
36;4;learning;68.57;Message05
36;4;learning;70.63;Message06
36;4;learning;218.57;Message08
37;4;learning;249.70;Message03
37;4;learning;61.03;Message07
37;4;learning;71.16;Message04
37;4;learning;136.57;Message05
37;4;learning;153.56;Message06
37;4;learning;200.15;Message08
38;4;learning;133.43;Message03
38;4;learning;43.51;Message07
38;4;learning;55.85;Message04
38;4;learning;73.90;Message05
38;4;learning;105.83;Message06
38;4;learning;194.68;Message08
39;4;learning;205.72;Message03
39;4;learning;92.84;Message07
39;4;learning;177.85;Message04
39;4;learning;72.87;Message05
39;4;learning;119.23;Message06
39;4;learning;240.87;Message08
40;4;learning;154.35;Message03
40;4;learning;46.10;Message07
40;4;learning;80.03;Message04
40;4;learning;121.84;Message05
40;4;learning;86.75;Message06
40;4;learning;292.14;Message08
41;4;learning;166.54;Message03
41;4;learning;51.19;Message07
41;4;learning;99.56;Message04
41;4;learning;64.42;Message05
41;4;learning;154.50;Message06
41;4;learning;233.81;Message08
42;4;learning;252.44;Message03
42;4;learning;22.92;Message07
42;4;learning;88.62;Message04
42;4;learning;73.44;Message05
42;4;learning;220.46;Message06
42;4;learning;267.07;Message08
43;4;learning;237.92;Message03
43;4;learning;55.55;Message07
43;4;learning;108.46;Message04
43;4;learning;92.48;Message05
43;4;learning;87.28;Message06
43;4;learning;167.84;Message08
44;1;learning;136.16;Message03
44;1;learning;22.69;Message07
44;1;learning;70.72;Message04
44;1;learning;57.71;Message05
44;1;learning;116.03;Message06
44;1;learning;267.45;Message08
45;2;learning;164.54;Message03
45;2;learning;35.09;Message07
45;2;learning;74.58;Message04
45;2;learning;57.69;Message05
45;2;learning;66.52;Message06
45;2;learning;143.98;Message08
46;3;learning;236.51;Message03
46;3;learning;68.00;Message07
46;3;learning;152.59;Message04
46;3;learning;79.28;Message05
46;3;learning;136.67;Message06
46;3;learning;119.60;Message08
